,dt,flight,alt_baro,alt_geom,gs,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,mlat,tisb,messages,seen,rssi
0,2022-10-16 00:00:00.256840,ACA56   ,32975,32850,556.9,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.413406,-75.032828,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],3933,0.2,-13.5
1,2022-10-16 00:00:01.278645,ACA56   ,32975,32850,556.9,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.414594,-75.029989,8,186,0.4,2,1,9,2,3,perhour,2,2,[],[],3944,0.1,-11.7
2,2022-10-16 00:00:02.316310,ACA56   ,32975,32850,556.9,58.7,-64,6343,none,A5,1012.8,32992,71.7,,45.416061,-75.02655,8,186,0.3,2,1,9,2,3,perhour,2,2,[],[],3949,0.3,-11.2
3,2022-10-16 00:00:03.339960,ACA56   ,32975,32850,556.9,58.7,64,6343,none,A5,1012.8,32992,71.7,,45.417664,-75.022823,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],3984,0.1,-14.0
4,2022-10-16 00:00:04.456727,ACA56   ,32975,32850,556.9,58.7,64,6343,none,A5,1012.8,32992,71.7,,45.418877,-75.020008,8,186,0.3,2,1,9,2,3,perhour,2,2,[],[],3991,0.3,-13.9
5,2022-10-16 00:00:05.379903,ACA56   ,32975,32850,557.4,58.6,64,6343,none,A5,1012.8,32992,71.7,,45.42009,-75.017199,8,186,0.4,2,1,9,2,3,perhour,2,2,[],[],3999,0.4,-12.1
6,2022-10-16 00:00:06.398452,ACA56   ,32975,32850,557.4,58.6,0,6343,none,A5,1012.8,32992,71.7,,45.421967,-75.012817,8,186,0.1,2,1,9,2,3,perhour,2,2,[],[],4015,0.1,-12.4
7,2022-10-16 00:00:07.425991,ACA56   ,32975,32850,557.4,58.6,0,6343,none,A5,1012.8,32992,71.7,,45.42316,-75.010026,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4042,0.2,-12.5
8,2022-10-16 00:00:08.444883,ACA56   ,33000,32875,556.5,58.6,0,6343,none,A5,1012.8,32992,71.7,,45.424622,-75.006605,8,186,0.1,2,1,9,2,3,perhour,2,2,[],[],4080,0.1,-15.2
9,2022-10-16 00:00:09.461762,ACA56   ,33000,32875,556.5,58.6,-64,6343,none,A5,1012.8,32992,71.7,,45.42586,-75.003796,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4131,0.0,-12.2
10,2022-10-16 00:00:10.491151,ACA56   ,32975,32850,556.5,58.6,0,6343,none,A5,1012.8,32992,71.7,,45.427163,-75.000648,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4153,0.2,-12.4
11,2022-10-16 00:00:11.510332,ACA56   ,32975,32850,556.5,58.6,64,6343,none,A5,1012.8,32992,71.7,,45.428513,-74.997566,8,186,0.3,2,1,9,2,3,perhour,2,2,[],[],4167,0.3,-11.2
12,2022-10-16 00:00:12.530675,ACA56   ,32975,32850,556.5,58.6,64,6343,none,A5,1012.8,32992,71.7,,45.430143,-74.993815,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4178,0.2,-14.9
13,2022-10-16 00:00:13.553274,ACA56   ,33000,32875,556.5,58.6,64,6343,none,A5,1012.8,32992,71.7,,45.431351,-74.990976,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4214,0.1,-13.9
14,2022-10-16 00:00:14.576717,ACA56   ,33000,32875,556.5,58.6,0,6343,none,A5,1012.8,32992,71.7,,45.432678,-74.987902,8,186,0.3,2,1,9,2,3,perhour,2,2,[],[],4222,0.3,-12.0
15,2022-10-16 00:00:15.615997,ACA56   ,32975,32850,556.5,58.6,0,6343,none,A5,1012.8,32992,71.7,,45.433731,-74.985352,8,186,0.4,2,1,9,2,3,perhour,2,2,[],[],4229,0.4,-11.4
16,2022-10-16 00:00:16.643258,ACA56   ,33000,32875,556.5,58.6,64,6343,none,A5,1012.8,32992,71.7,,45.435608,-74.981036,8,186,0.1,2,1,9,2,3,perhour,2,2,[],[],4244,0.1,-11.2
17,2022-10-16 00:00:17.704135,ACA56   ,32975,32850,556.0,58.7,64,6343,none,A5,1012.8,32992,71.7,,45.436935,-74.977897,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4251,0.0,-12.4
18,2022-10-16 00:00:18.737801,ACA56   ,32975,32850,556.0,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.438309,-74.974758,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4286,0.1,-12.0
19,2022-10-16 00:00:19.758926,ACA56   ,33000,32875,556.0,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.439636,-74.971684,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4294,0.1,-10.8
20,2022-10-16 00:00:20.784341,ACA56   ,32975,32850,556.0,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.44085,-74.968827,8,186,0.4,2,1,9,2,3,perhour,2,2,[],[],4301,0.0,-10.2
21,2022-10-16 00:00:21.809851,ACA56   ,33000,32875,556.0,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.442153,-74.965746,8,186,0.4,2,1,9,2,3,perhour,2,2,[],[],4314,0.2,-8.6
22,2022-10-16 00:00:22.868996,ACA56   ,32975,32850,556.0,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.443503,-74.962597,8,186,0.5,2,1,9,2,3,perhour,2,2,[],[],4355,0.0,-8.8
23,2022-10-16 00:00:23.898750,ACA56   ,33000,32875,556.0,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.444717,-74.959782,8,186,0.6,2,1,9,2,3,perhour,2,2,[],[],4362,0.4,-9.7
24,2022-10-16 00:00:24.919541,ACA56   ,32975,32850,556.0,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.446594,-74.955466,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4371,0.2,-10.7
25,2022-10-16 00:00:25.940319,ACA56   ,33000,32875,556.0,58.7,64,6343,none,A5,1012.8,32992,71.7,,45.448065,-74.952013,8,186,0.1,2,1,9,2,3,perhour,2,2,[],[],4383,0.1,-12.2
26,2022-10-16 00:00:26.969727,ACA56   ,32975,32850,556.0,58.7,0,6343,none,A5,1012.8,32992,71.7,,45.449369,-74.948864,8,186,0.2,2,1,9,2,3,perhour,2,2,[],[],4389,0.2,-12.1
27,2022-10-16 00:00:27.991158,ACA56   ,32975,32850,556.0,58.7,64,6343,none,A5,1012.8,32992,71.7,,45.450577,-74.946049,8,186,0.3,2,1,9,2,3,perhour,2,2,[],[],4427,0.1,-9.9
28,2022-10-16 00:00:29.016166,ACA56   ,33000,32875,556.0,58.7,64,6343,none,A5,1012.8,32992,71.7,,45.451789,-74.943237,8,186,0.5,2,1,9,2,3,perhour,2,2,[],[],4435,0.3,-10.6
29,2022-10-16 00:00:30.036336,ACA56   ,33000,32900,556.0,58.7,64,6343,none,A5,1012.8,32992,71.7,,45.453232,-74.939837,8,186,0.4,2,1,9,2,3,perhour,2,2,[],[],4441,0.4,-10.3
30,2022-10-16 00:00:31.061842,ACA56   ,32975,32850,556.0,58.7,64,6343,none,A5,1012.8,32992,71.7,,45.454605,-74.936698,8,186,0.4,2,1,9,2,3,perhour,2,2,[],[],4453,0.3,-11.5
